2019-07-09 15:50:30 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:30 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}]}
2019-07-09 15:50:33 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":141,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:33 | [verify_placeOrder] | (PlaceOrder.java:38) | RESPONSE:{"id":141,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:33 | [verify_placeOrder] | (PlaceOrder.java:45) | Created New Order - ID - 141
2019-07-09 15:50:34 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:34 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}],"orderAt":"2019-09-03T13:00:00.000Z"}
2019-07-09 15:50:34 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":142,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:34 | [verify_placeAdvanceOrder_9To5] | (PlaceOrder.java:66) | RESPONSE:{"id":142,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:34 | [verify_placeAdvanceOrder_9To5] | (PlaceOrder.java:73) | Created New Order - ID - 142
2019-07-09 15:50:34 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:34 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}],"orderAt":"2019-09-03T03:00:00.000Z"}
2019-07-09 15:50:34 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":143,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"497.24","currency":"HKD"}}

2019-07-09 15:50:34 | [verify_placeAdvanceOrder_Not9To5] | (PlaceOrder.java:101) | RESPONSE:{"id":143,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"497.24","currency":"HKD"}}

2019-07-09 15:50:34 | [verify_placeAdvanceOrder_Not9To5] | (PlaceOrder.java:108) | Created New Order - ID - 143
2019-07-09 15:50:34 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:34 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stop":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}],"orderAt":"2019-09-03T13:00:00.000Z"}
